1;Ашке;{"text":"Ашке", "emphasis" : "Ашк+е"}
2;Глазман;{"text":"Глазман", "emphasis" : "Гл+азман"}
3;Джунусова;{"text":"Джунусова", "emphasis" : "Джун+усова"}
4;Есилова;{"text":"Есилова", "emphasis" : "Ес+илова"}
5;Есиркепов;{"text":"Есиркепов", "emphasis" : "Есирк+епов"}
6;Жанузаков;{"text":"Жанузаков", "emphasis" : "Жануз+аков"}
7;Кабыкен;{"text":"Кабыкен", "emphasis" : "Кабык+ен"}
8;Кечина;{"text":"Кечина", "emphasis" : "К+ечина"}
9;Ладзина;{"text":"Ладзина", "emphasis" : "Л+адзина"}
10;Мукашева;{"text":"Мукашева", "emphasis" : "Мук+ашева"}
11;Мырзабек;{"text":"Мырзабек", "emphasis" : "Мырзаб+ек"}
12;Панкирей;{"text":"Панкирей", "emphasis" : "Панкир+ей"}
13;Саекова;{"text":"Саекова", "emphasis" : "Са+екова"}
14;Тулеугазы;{"text":"Тулеугазы", "emphasis" : "Тулеугаз+ы"}
15;Усен;{"text":"Усен", "emphasis" : "Ус+ен"}
16;Федорцова;{"text":"Федорцова", "emphasis" : "Федорц+ова"}
17;Хасенова;{"text":"Хасенова", "emphasis" : "Хас+енова"}
18;Хусаинова;{"text":"Хусаинова", "emphasis" : "Хуса+инова"}
1000;Аманкельди;{"text":"Аманкельди", "emphasis":"Аманкельд+и"}
1001;Асель;{"text":"Асель", "emphasis":"Ас+ель"}
1002;Асем;{"text":"Асем", "emphasis":"Ас+ем"}
1003;Гульгайша;{"text":"Гульгайша", "emphasis":"Гульгайш+а"}
1004;Елнур;{"text":"Елнур", "emphasis":"Елн+ур"}
1005;Лаура;{"text":"Лаура", "emphasis":"Ла+ура"}
1006;Медет;{"text":"Медет", "emphasis":"Мед+ет"}
1007;Улбосын;{"text":"Улбосын", "emphasis":"Улбос+ын"}
1008;Меткелова;{"text":"Меткелова", "emphasis":"Метк+елова"}
1009;Полин;{"text":"Полин", "emphasis":"П+олин"}
